Date,Day,Origin Display Name,,,,,,,,,,,,,,,,,,,
03/30/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
06/01/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","9000 San Nicolas, Makati, Kalakhang Maynila",1629,888,2988,,,,2796,2174,3595,1313,806,2140,856,618,1184,,,
06/02/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","9000 San Nicolas, Makati, Kalakhang Maynila",,,,,,,,,,1622,970,2712,1809,1412,2319,,,
06/03/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","9000 San Nicolas, Makati, Kalakhang Maynila",,,,,,,,,,1301,946,1791,827,604,1132,,,
06/04/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","9000 San Nicolas, Makati, Kalakhang Maynila",815,651,1019,,,,,,,,,,786,641,963,,,
06/05/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","9000 San Nicolas, Makati, Kalakhang Maynila",,,,,,,1080,711,1640,713,620,820,908,536,1536,,,
06/06/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","9000 San Nicolas, Makati, Kalakhang Maynila",,,,,,,,,,2251,1661,3050,,,,,,
06/07/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","9000 San Nicolas, Makati, Kalakhang Maynila",,,,,,,,,,2369,1910,2937,889,395,2003,,,
06/08/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","9000 San Nicolas, Makati, Kalakhang Maynila",2003,1014,3954,,,,,,,,,,1030,605,1752,,,
06/09/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","9000 San Nicolas, Makati, Kalakhang Maynila",,,,,,,,,,,,,,,,,,
06/10/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","9000 San Nicolas, Makati, Kalakhang Maynila",1130,761,1677,,,,1278,1007,1622,,,,,,,,,
06/11/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","9000 San Nicolas, Makati, Kalakhang Maynila",,,,,,,,,,,,,,,,,,
06/12/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","9000 San Nicolas, Makati, Kalakhang Maynila",691,578,827,,,,,,,,,,,,,,,
06/13/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","9000 San Nicolas, Makati, Kalakhang Maynila",1908,1076,3383,,,,,,,1484,1030,2138,,,,,,
06/14/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","9000 San Nicolas, Makati, Kalakhang Maynila",,,,,,,,,,2066,1466,2911,1811,863,3798,,,
06/15/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","9000 San Nicolas, Makati, Kalakhang Maynila",2301,1214,4360,,,,,,,,,,1564,966,2532,,,
06/16/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","9000 San Nicolas, Makati, Kalakhang Maynila",3006,2078,4350,,,,,,,2888,2134,3909,,,,,,
06/17/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","9000 San Nicolas, Makati, Kalakhang Maynila",,,,,,,2130,1738,2611,1892,1392,2572,926,712,1205,,,
06/18/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","9000 San Nicolas, Makati, Kalakhang Maynila",,,,,,,,,,797,686,927,,,,,,
06/19/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","9000 San Nicolas, Makati, Kalakhang Maynila",,,,,,,,,,,,,,,,,,
06/20/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","9000 San Nicolas, Makati, Kalakhang Maynila",1951,1069,3560,,,,,,,2634,1863,3725,1353,778,2352,,,
06/21/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","9000 San Nicolas, Makati, Kalakhang Maynila",,,,,,,,,,1921,1484,2486,,,,,,
06/22/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","9000 San Nicolas, Makati, Kalakhang Maynila",1798,900,3593,,,,,,,1740,1111,2725,834,626,1109,,,
