Date,Day,Origin Display Name,,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
06/21/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,Eastwood City ,4495,2909,6946,,,,6214,4426,8724,4008,2905,5529,3798,2334,6180,,,
06/22/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,Eastwood City ,,,,,,,7288,5703,9312,4150,3302,5216,,,,,,
06/23/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,Eastwood City ,3082,2053,4625,,,,,,,3786,2807,5107,1848,1454,2348,2111,1731,2574
06/24/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,Eastwood City ,,,,,,,,,,,,,,,,,,
06/25/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,Eastwood City ,1884,1333,2663,,,,,,,,,,,,,,,
06/26/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,Eastwood City ,,,,,,,6497,5046,8366,4203,3181,5553,,,,,,
06/27/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,Eastwood City ,2111,1731,2574,,,,7121,6170,8218,3958,2956,5300,4911,3921,6151,,,
06/28/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,Eastwood City ,,,,,,,5472,4864,6157,4015,2958,5451,,,,,,
06/29/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,Eastwood City ,6589,4483,9684,,,,,,,6230,4404,8813,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
