Date,Day,Origin Display Name,,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
05/21/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"500 Gen.J.Cailles, Makati, Metro Manila",277,172,447,319,220,462,289,187,445,269,172,420,229,146,361,278,148,522
05/22/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"500 Gen.J.Cailles, Makati, Metro Manila",295,178,491,443,298,659,261,178,382,288,195,424,279,140,556,240,145,396
05/23/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"500 Gen.J.Cailles, Makati, Metro Manila",232,137,392,442,292,669,285,190,425,443,252,778,283,166,483,206,130,328
05/24/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"500 Gen.J.Cailles, Makati, Metro Manila",240,147,394,340,294,394,303,200,459,302,204,449,249,160,389,225,138,367
05/25/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"500 Gen.J.Cailles, Makati, Metro Manila",411,232,728,,,,403,250,648,399,213,745,387,225,665,207,125,341
05/26/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"500 Gen.J.Cailles, Makati, Metro Manila",274,175,429,236,202,274,213,152,300,345,212,562,203,151,272,184,128,266
05/27/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"500 Gen.J.Cailles, Makati, Metro Manila",194,123,306,193,144,259,223,147,338,205,156,270,218,142,334,194,122,309
05/28/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"500 Gen.J.Cailles, Makati, Metro Manila",282,153,521,397,280,563,304,165,558,255,166,391,289,151,554,247,141,433
05/29/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"500 Gen.J.Cailles, Makati, Metro Manila",480,261,884,432,281,662,458,244,858,627,337,1165,415,236,730,213,133,341
05/30/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"500 Gen.J.Cailles, Makati, Metro Manila",419,254,690,533,436,652,378,282,508,547,356,841,254,167,388,240,150,383
05/31/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"500 Gen.J.Cailles, Makati, Metro Manila",398,212,747,376,256,553,244,178,333,608,302,1225,273,172,433,211,132,337
06/01/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"500 Gen.J.Cailles, Makati, Metro Manila",229,143,364,309,246,388,417,250,697,673,326,1392,245,171,352,224,140,356
06/02/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"500 Gen.J.Cailles, Makati, Metro Manila",172,129,229,284,182,444,268,166,430,344,231,513,220,150,322,170,127,227
06/03/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"500 Gen.J.Cailles, Makati, Metro Manila",213,139,327,243,146,404,222,144,342,196,134,287,234,145,379,229,127,413
06/04/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"500 Gen.J.Cailles, Makati, Metro Manila",266,140,504,326,234,453,231,155,343,319,186,548,204,110,377,258,135,492
06/05/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"500 Gen.J.Cailles, Makati, Metro Manila",476,236,960,428,246,744,735,477,1132,569,279,1163,270,168,434,213,125,363
06/06/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"500 Gen.J.Cailles, Makati, Metro Manila",239,142,403,403,314,518,329,213,506,351,246,501,254,171,377,198,128,306
06/07/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"500 Gen.J.Cailles, Makati, Metro Manila",254,145,445,362,252,519,305,181,516,294,192,450,221,146,335,230,137,386
06/08/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"500 Gen.J.Cailles, Makati, Metro Manila",217,142,333,390,303,501,385,271,547,362,234,558,318,203,500,201,137,296
06/09/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"500 Gen.J.Cailles, Makati, Metro Manila",301,178,508,210,150,293,221,154,318,392,232,660,222,144,343,212,136,330
