Date,,Origin Display Name,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
06/24/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Century City Mall, Century City, Kalayaan Ave. cor. Salamanca St.,, Brgy. Poblacion, Makati, Metro Manila",813,541,1221,,,,1107,782,1568,860,691,1071,931,647,1339,827,540,1266
06/25/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Century City Mall, Century City, Kalayaan Ave. cor. Salamanca St.,, Brgy. Poblacion, Makati, Metro Manila",778,593,1021,,,,683,608,768,829,654,1051,771,550,1081,709,563,893
06/26/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Century City Mall, Century City, Kalayaan Ave. cor. Salamanca St.,, Brgy. Poblacion, Makati, Metro Manila",3027,1824,5022,,,,4085,3016,5532,2189,1512,3169,2612,1491,4576,781,591,1033
06/27/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Century City Mall, Century City, Kalayaan Ave. cor. Salamanca St.,, Brgy. Poblacion, Makati, Metro Manila",3396,1937,5952,,,,4870,3573,6639,2190,1397,3432,3137,1862,5287,812,643,1026
06/28/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Century City Mall, Century City, Kalayaan Ave. cor. Salamanca St.,, Brgy. Poblacion, Makati, Metro Manila",824,583,1166,,,,3405,2757,4205,2205,1662,2926,1601,979,2617,736,573,944
06/29/2017,,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila","Century City Mall, Century City, Kalayaan Ave. cor. Salamanca St.,, Brgy. Poblacion, Makati, Metro Manila",3273,1951,5490,,,,6396,5043,8112,2562,1754,3741,3354,1983,5673,770,635,935
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
