Date,Day,Origin Display Name,,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
05/01/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Pagasa Extension, Santa Mesa, Maynila, Kalakhang Maynila",,,,,,,,,,3254,2647,3999,1630,1164,2282,,,
05/02/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Pagasa Extension, Santa Mesa, Maynila, Kalakhang Maynila",3505,2636,4661,,,,4337,3865,4866,3502,2633,4658,3267,2519,4236,,,
05/03/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Pagasa Extension, Santa Mesa, Maynila, Kalakhang Maynila",1128,915,1392,,,,4471,4099,4876,3778,1906,7487,2292,1828,2872,1123,903,1396
05/04/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Pagasa Extension, Santa Mesa, Maynila, Kalakhang Maynila",,,,,,,,,,,,,3333,2278,4877,,,
05/05/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Pagasa Extension, Santa Mesa, Maynila, Kalakhang Maynila",2319,1642,3275,,,,2709,2095,3504,2675,2226,3214,,,,,,
05/06/2017,Thursday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Pagasa Extension, Santa Mesa, Maynila, Kalakhang Maynila",1443,1086,1916,,,,1662,1193,2317,1633,1320,2020,1218,991,1498,832,744,930
05/07/2017,Friday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Pagasa Extension, Santa Mesa, Maynila, Kalakhang Maynila",932,766,1135,,,,2254,1943,2616,,,,1976,1599,2441,932,766,1135
05/08/2017,Saturday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Pagasa Extension, Santa Mesa, Maynila, Kalakhang Maynila",,,,,,,5853,4493,7625,,,,2719,1875,3942,,,
05/09/2017,Sunday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Pagasa Extension, Santa Mesa, Maynila, Kalakhang Maynila",2205,1558,3121,,,,,,,,,,1743,1481,2050,,,
05/10/2017,Monday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Pagasa Extension, Santa Mesa, Maynila, Kalakhang Maynila",2707,1953,3751,,,,,,,2776,2210,3485,2112,1509,2955,1471,1071,2020
05/11/2017,Tuesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Pagasa Extension, Santa Mesa, Maynila, Kalakhang Maynila",3538,2568,4874,,,,4412,3733,5214,3266,2579,4136,3032,2131,4315,1454,1048,2017
05/12/2017,Wednesday,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Pagasa Extension, Santa Mesa, Maynila, Kalakhang Maynila",1476,1193,1826,,,,2457,1944,3105,,,,1525,1148,2027,1476,1193,1826
