Date,Origin Display Name,,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
06/19/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",3949,2581,6042,,,,5412,3816,7675,3286,2399,4500,2930,1985,4324,,,
06/20/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",3627,2482,5299,,,,5342,4046,7053,2680,2171,3309,4305,3279,5652,,,
06/21/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",3445,2179,5445,,,,4761,3188,7109,2582,1885,3537,,,,,,
06/22/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",3901,2525,6026,,,,6119,4818,7772,2982,2247,3956,2923,2123,4025,,,
06/23/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",2521,1600,3973,,,,2819,2419,3284,3091,2260,4227,1349,983,1851,2053,1227,3436
06/24/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",,,,,,,,,,1407,1085,1825,,,,,,
06/25/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",1349,1057,1721,,,,,,,1235,946,1613,1446,1182,1769,,,
06/26/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",4226,2775,6433,,,,5888,4414,7853,3120,2358,4129,4244,2796,6441,,,
06/27/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",,,,,,,5076,4130,6239,2679,1875,3826,4085,2881,5791,,,
06/28/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",,,,,,,5101,3949,6589,3102,2395,4018,3925,2445,6300,,,
06/29/2017,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",,"Corporal Cruz, Pasig, Metro Manila",4592,3192,6605,,,,,,,3902,2939,5180,5065,3593,7138,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
