Date,Origin Movement ID,Origin Display Name,Destination Movement ID,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
05/26/2017,209,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",127,"Edison Avenue, Manila, Metro Manila",1105,587,2083,,,,2232,1514,3289,1072,648,1772,781,434,1405,492,346,699
05/27/2017,209,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",127,"Edison Avenue, Manila, Metro Manila",546,322,924,,,,486,278,849,711,442,1141,499,305,818,541,323,905
05/28/2017,209,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",127,"Edison Avenue, Manila, Metro Manila",632,388,1029,695,358,1345,,,,593,391,899,620,366,1049,,,
05/29/2017,209,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",127,"Edison Avenue, Manila, Metro Manila",518,326,823,,,,1396,778,2503,608,381,971,525,319,864,518,326,823
05/30/2017,209,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",127,"Edison Avenue, Manila, Metro Manila",926,510,1679,,,,,,,609,375,988,1154,644,2068,501,443,567
05/31/2017,209,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",127,"Edison Avenue, Manila, Metro Manila",737,416,1306,,,,1576,933,2661,608,364,1015,588,399,866,344,228,519
06/01/2017,209,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",127,"Edison Avenue, Manila, Metro Manila",503,398,635,,,,787,576,1074,562,444,711,1072,585,1964,503,398,635
06/02/2017,209,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",127,"Edison Avenue, Manila, Metro Manila",470,345,641,,,,856,404,1812,775,486,1233,594,398,886,497,375,659
06/03/2017,209,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",127,"Edison Avenue, Manila, Metro Manila",613,348,1082,,,,,,,595,282,1257,586,377,913,,,
06/04/2017,209,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",127,"Edison Avenue, Manila, Metro Manila",424,313,575,,,,1236,923,1655,625,508,768,530,339,828,407,324,510
06/05/2017,209,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",127,"Edison Avenue, Manila, Metro Manila",822,478,1412,810,685,957,1070,504,2271,864,502,1487,698,424,1148,482,316,735
06/06/2017,209,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",127,"Edison Avenue, Manila, Metro Manila",1001,518,1935,,,,1344,776,2326,831,414,1666,1070,557,2055,420,318,555
06/07/2017,209,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",127,"Edison Avenue, Manila, Metro Manila",420,323,547,799,589,1083,1446,931,2248,850,573,1262,816,518,1288,420,323,547
06/08/2017,209,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",127,"Edison Avenue, Manila, Metro Manila",953,512,1774,,,,2106,1655,2679,822,438,1543,700,441,1109,470,384,576
06/09/2017,209,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",127,"Edison Avenue, Manila, Metro Manila",1321,584,2989,,,,2105,896,4946,1291,625,2667,620,366,1050,502,328,769
06/10/2017,209,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",127,"Edison Avenue, Manila, Metro Manila",509,319,814,,,,639,410,996,963,550,1687,618,357,1069,519,313,858
06/11/2017,209,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",127,"Edison Avenue, Manila, Metro Manila",748,443,1264,,,,850,589,1229,904,465,1754,514,362,730,347,275,437
06/12/2017,209,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",127,"Edison Avenue, Manila, Metro Manila",774,416,1439,630,518,765,,,,619,358,1070,791,412,1518,462,358,596
06/13/2017,209,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",127,"Edison Avenue, Manila, Metro Manila",773,430,1390,614,482,783,,,,704,476,1041,804,429,1504,838,433,1621
06/14/2017,209,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",127,"Edison Avenue, Manila, Metro Manila",564,478,665,,,,2639,953,7302,1230,632,2392,948,576,1560,561,472,666
06/15/2017,209,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",127,"Edison Avenue, Manila, Metro Manila",1299,619,2722,,,,2443,1457,4096,1099,542,2227,1047,538,2036,441,265,732
06/16/2017,209,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",127,"Edison Avenue, Manila, Metro Manila",493,298,815,,,,745,484,1146,687,423,1114,592,388,903,472,289,772
06/17/2017,209,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",127,"Edison Avenue, Manila, Metro Manila",430,311,596,,,,,,,531,316,892,640,341,1200,444,320,615
06/18/2017,209,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",127,"Edison Avenue, Manila, Metro Manila",418,289,603,,,,1078,507,2289,576,519,640,792,461,1359,,,
06/19/2017,209,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",127,"Edison Avenue, Manila, Metro Manila",850,461,1566,644,360,1153,806,445,1461,898,534,1512,897,450,1786,570,395,822
06/20/2017,209,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",127,"Edison Avenue, Manila, Metro Manila",919,502,1683,,,,1361,614,3015,755,466,1223,795,447,1412,449,387,520
06/21/2017,209,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",127,"Edison Avenue, Manila, Metro Manila",933,465,1871,609,421,880,1622,606,4342,898,502,1603,908,442,1867,437,285,671
06/22/2017,209,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",127,"Edison Avenue, Manila, Metro Manila",874,444,1720,830,706,975,1005,473,2135,823,400,1692,795,400,1580,647,446,938
06/23/2017,209,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",127,"Edison Avenue, Manila, Metro Manila",1081,476,2452,,,,,,,1637,760,3526,527,316,879,458,320,656
06/24/2017,209,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",127,"Edison Avenue, Manila, Metro Manila",441,405,481,,,,479,278,822,423,279,640,513,342,769,441,405,481
06/25/2017,209,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",127,"Edison Avenue, Manila, Metro Manila",564,372,855,,,,656,562,765,467,245,891,572,403,812,,,
06/26/2017,209,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",127,"Edison Avenue, Manila, Metro Manila",458,317,661,815,503,1320,1112,483,2557,714,498,1024,1210,583,2511,435,298,635
06/27/2017,209,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",127,"Edison Avenue, Manila, Metro Manila",486,374,630,,,,710,408,1236,1234,427,3566,1031,612,1737,470,358,616
06/28/2017,209,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",127,"Edison Avenue, Manila, Metro Manila",603,420,865,,,,1122,550,2290,1331,617,2870,752,462,1224,527,401,691
06/29/2017,209,"Asia Pacific College, 3 Humabon, Makati, Kalakhang Maynila",127,"Edison Avenue, Manila, Metro Manila",479,348,660,758,531,1080,2773,1010,7607,1202,607,2380,1257,678,2330,465,339,637
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
